                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.57298,                0.52822,                 1.0396,                 0.8563,                0.85909,                0.88888,                0.77512,                0.63318,                0.64514,                 1.0895,              0.0083368,              0.0083368,              0.0083368
                     86,                0.56596,                0.50746,                 1.0416,                0.90984,                0.83042,                0.89539,                0.77713,                0.65706,                0.64903,                 1.0909,               0.008317,               0.008317,               0.008317
                     87,                 0.5684,                0.50678,                 1.0468,                0.90225,                0.83081,                0.89704,                0.78476,                0.62925,                0.64771,                 1.0678,              0.0082972,              0.0082972,              0.0082972
                     88,                0.56944,                0.51987,                 1.0454,                0.88199,                0.85964,                0.89272,                0.78168,                0.63676,                0.61719,                 1.0792,              0.0082774,              0.0082774,              0.0082774
                     89,                0.57015,                0.51239,                 1.0408,                0.88333,                0.85076,                0.89553,                0.78037,                0.65417,                0.69176,                 1.0892,              0.0082576,              0.0082576,              0.0082576
                     90,                0.57145,                 0.5117,                 1.0453,                0.89425,                 0.8547,                0.88772,                0.78091,                0.63443,                0.65809,                 1.0884,              0.0082378,              0.0082378,              0.0082378
                     91,                0.56363,                0.51162,                 1.0411,                0.89281,                0.84372,                0.89239,                0.77875,                0.65715,                0.72237,                 1.1087,               0.008218,               0.008218,               0.008218
                     92,                0.56487,                0.50388,                 1.0368,                0.87316,                0.84665,                0.88364,                0.77382,                0.62746,                0.69198,                 1.0691,              0.0081982,              0.0081982,              0.0081982
                     93,                0.55698,                0.49506,                 1.0346,                0.91224,                0.83614,                0.89849,                 0.7864,                0.64638,                0.64897,                 1.0734,              0.0081784,              0.0081784,              0.0081784
                     94,                0.55468,                0.49509,                 1.0293,                0.89536,                0.84565,                0.89419,                0.77962,                0.62728,                0.67692,                 1.0714,              0.0081586,              0.0081586,              0.0081586
                     95,                0.54906,                0.49663,                 1.0305,                0.93166,                0.81688,                  0.885,                0.78321,                0.63685,                0.67187,                  1.085,              0.0081388,              0.0081388,              0.0081388
                     96,                0.54867,                 0.5002,                 1.0338,                0.87317,                0.85629,                0.89495,                0.78105,                 0.6467,                0.64913,                 1.0958,               0.008119,               0.008119,               0.008119
                     97,                0.55392,                0.48114,                 1.0333,                0.91829,                0.83772,                0.88692,                0.77172,                0.66003,                0.69998,                 1.1219,              0.0080992,              0.0080992,              0.0080992
                     98,                0.56109,                0.51007,                 1.0455,                0.89418,                0.84864,                0.88275,                0.78288,                0.62031,                0.65761,                 1.0734,              0.0080794,              0.0080794,              0.0080794
